Michael Backes, Saarland Univ. and MPI-SWS, Germany
Bruno Blanchet, CNRS, ENS, INRIA, France
Dan Boneh, Stanford, USA
Nikita Borisov, UIUC, USA
Herbert Bos, VU, Netherlands
Srdjan Capkun, ETHZ, Switzerland
Avik Chaudhuri, Adobe Advanced Technology Labs, USA
Shuo Chen, Microsoft Research, USA
Manuel Costa, Microsoft Research, UK
Anupam Datta, CMU, USA
Stephanie Delaune, CNRS and ENS-Cachan, France
Roger Dingledine, The Tor Project, USA
Orr Dunkelman, University of Haifa and Weizmann Institute, Israel
Úlfar Erlingsson, Google, USA
Nick Feamster, Georgia Tech, USA
Bryan Ford, Yale University, USA
Cédric Fournet, Microsoft Research, UK
Paul Francis, MPI-SWS, Germany
Michael Freedman, Princeton University, USA
Guofei Gu, Texas A&M University, USA
Nicholas Hopper, U of Minnesota, USA
Jean-Pierre Hubaux, EPFL, Switzerland
Collin Jackson, CMU Silicon Valley, USA
Markus Jakobsson, Paypal, USA
Jaeyeon Jung, Intel Labs Seattle, USA
Apu Kapadia, Indiana Univ., USA
Jonathan Katz, U. of Maryland, USA
Stefan Katzenbeisser, TU Darmstadt, Germany
Arvind Krishnamurthy, U. of Washington, USA
Christopher Kruegel, UCSB, USA
Ralf Kuesters, U. of Trier, Germany
Ninghui Li, Purdue University, USA
Benjamin Livshits, Microsoft Research, USA
Heiko Mantel, TU Darmstadt, Germany
John Mitchell, Stanford, USA
Fabian Monrose, UNC at Chapel Hill, USA
Steven Murdoch, Univ. of Cambridge, UK
David Naccache, Ecole Normale Superieure, France
Arvind Narayanan, Stanford, USA
Kenny Paterson, Royal Holloway, U. of London, UK
Niels Provos, Google, USA
Mike Reiter, UNC at Chapel Hill, USA
Thomas Ristenpart, U. of Wisconsin, USA
Hovav Shacham, UCSD, USA
Anil Somayaji, Carleton Univ., Canada
Francois-Xavier Standaert, UCL, Belgium, UK
Eran Tromer, Tel Aviv Univ., Israel
Leendert van Doorn, AMD, USA
Paul van Oorschot, Carleton Univ., Canada
Bogdan Warinschi, U. of Bristol, UK
Brent Waters, U. of Texas Austin, USA
Robert Watson, University of Cambridge, UK
Xiaowei Yang, Duke University, USA
Haifeng Yu, NUS, Singapore
